sequence	predicted_repair_region	before_status	after_status	before_failed_regions	after_failed_regions	left_before	left_after	left_threshold	right_before	right_after	right_threshold	waist_before	waist_after	waist_threshold	output_motion
gBR_sBM_c01_d04_mBR0_ch01	left_arm_waist	FAIL	GOOD	left_arm,waist	none	24.159615	0.869997	4.875908	2.485066	2.485066	4.785765	6.255346	0.000000	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gBR_sBM_c01_d04_mBR0_ch01_repaired_detector_v5.npz
gBR_sBM_c01_d04_mBR0_ch04	both_arms_waist	FAIL	FAIL	left_arm,right_arm,waist	right_arm	7.913475	2.762139	4.875908	17.057335	5.488128	4.785765	18.861928	0.399969	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gBR_sBM_c01_d04_mBR0_ch04_repaired_detector_v5.npz
gJB_sBM_c01_d07_mJB0_ch01	left_arm_waist	FAIL	GOOD	left_arm,waist	none	22.684117	0.000000	4.875908	1.083511	1.083511	4.785765	3.434602	0.000000	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gJB_sBM_c01_d07_mJB0_ch01_repaired_detector_v5.npz
gJB_sBM_c01_d07_mJB0_ch04	left_arm	FAIL	GOOD	left_arm	none	22.273277	0.253632	4.875908	0.594559	0.594559	4.785765	1.507623	1.507623	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gJB_sBM_c01_d07_mJB0_ch04_repaired_detector_v5.npz
gJB_sBM_c01_d07_mJB0_ch09	left_arm_waist	FAIL	GOOD	left_arm,waist	none	24.172563	1.276341	4.875908	2.529742	2.529742	4.785765	3.198674	0.141759	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gJB_sBM_c01_d07_mJB0_ch09_repaired_detector_v5.npz
gJB_sBM_c01_d07_mJB0_ch10	both_arms_waist	FAIL	GOOD	left_arm,right_arm,waist	none	15.623870	0.420341	4.875908	19.666527	1.258851	4.785765	12.494097	0.185173	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gJB_sBM_c01_d07_mJB0_ch10_repaired_detector_v5.npz
gJS_sBM_c01_d01_mJS0_ch07	left_arm_waist	FAIL	FAIL	left_arm,waist	left_arm	5.863712	6.851248	4.875908	0.756841	0.756841	4.785765	3.701451	0.000000	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gJS_sBM_c01_d01_mJS0_ch07_repaired_detector_v5.npz
gWA_sBM_c01_d25_mWA0_ch01	right_arm	FAIL	GOOD	right_arm	none	2.389410	2.389410	4.875908	16.328114	0.399413	4.785765	2.341621	2.341621	2.945514	/home/yjd/桌面/IsaacLab/gmr_motions/aist_video_g1_repaired_detector_v5/gWA_sBM_c01_d25_mWA0_ch01_repaired_detector_v5.npz
